x,y,z
-0.34466112359393947,-0.4255493305022176,-0.2
-0.34466112359393947,-0.4255493305022176,-0.22142857142857145
-0.34466112359393947,-0.4255493305022176,-0.24285714285714288
-0.34466112359393947,-0.4255493305022176,-0.2642857142857143
-0.34466112359393947,-0.4255493305022176,-0.2857142857142857
-0.34466112359393947,-0.4255493305022176,-0.30714285714285716
-0.34466112359393947,-0.4255493305022176,-0.32857142857142857
-0.34466112359393947,-0.4255493305022176,-0.35
-0.34466112359393947,-0.4255493305022176,-0.37142857142857144
-0.34466112359393947,-0.4255493305022176,-0.3928571428571429
-0.34466112359393947,-0.4255493305022176,-0.4142857142857143
-0.34466112359393947,-0.4255493305022176,-0.4357142857142857
-0.34466112359393947,-0.4255493305022176,-0.45714285714285713
-0.34466112359393947,-0.4255493305022176,-0.4785714285714286
-0.34466112359393947,-0.4255493305022176,-0.5
-0.3425813917528168,-0.4628282907739506,-0.2
-0.3425813917528168,-0.4628282907739506,-0.22142857142857145
-0.3425813917528168,-0.4628282907739506,-0.24285714285714288
-0.3425813917528168,-0.4628282907739506,-0.2642857142857143
-0.3425813917528168,-0.4628282907739506,-0.2857142857142857
-0.3425813917528168,-0.4628282907739506,-0.30714285714285716
-0.3425813917528168,-0.4628282907739506,-0.32857142857142857
-0.3425813917528168,-0.4628282907739506,-0.35
-0.3425813917528168,-0.4628282907739506,-0.37142857142857144
-0.3425813917528168,-0.4628282907739506,-0.3928571428571429
-0.3425813917528168,-0.4628282907739506,-0.4142857142857143
-0.3425813917528168,-0.4628282907739506,-0.4357142857142857
-0.3425813917528168,-0.4628282907739506,-0.45714285714285713
-0.3425813917528168,-0.4628282907739506,-0.4785714285714286
-0.3425813917528168,-0.4628282907739506,-0.5
-0.3364853097816093,-0.49966419646490323,-0.2
-0.3364853097816093,-0.49966419646490323,-0.22142857142857145
-0.3364853097816093,-0.49966419646490323,-0.24285714285714288
-0.3364853097816093,-0.49966419646490323,-0.2642857142857143
-0.3364853097816093,-0.49966419646490323,-0.2857142857142857
-0.3364853097816093,-0.49966419646490323,-0.30714285714285716
-0.3364853097816093,-0.49966419646490323,-0.32857142857142857
-0.3364853097816093,-0.49966419646490323,-0.35
-0.3364853097816093,-0.49966419646490323,-0.37142857142857144
-0.3364853097816093,-0.49966419646490323,-0.3928571428571429
-0.3364853097816093,-0.49966419646490323,-0.4142857142857143
-0.3364853097816093,-0.49966419646490323,-0.4357142857142857
-0.3364853097816093,-0.49966419646490323,-0.45714285714285713
-0.3364853097816093,-0.49966419646490323,-0.4785714285714286
-0.3364853097816093,-0.49966419646490323,-0.5
-0.3264442762914001,-0.5356256175981249,-0.2
-0.3264442762914001,-0.5356256175981249,-0.22142857142857145
-0.3264442762914001,-0.5356256175981249,-0.24285714285714288
-0.3264442762914001,-0.5356256175981249,-0.2642857142857143
-0.3264442762914001,-0.5356256175981249,-0.2857142857142857
-0.3264442762914001,-0.5356256175981249,-0.30714285714285716
-0.3264442762914001,-0.5356256175981249,-0.32857142857142857
-0.3264442762914001,-0.5356256175981249,-0.35
-0.3264442762914001,-0.5356256175981249,-0.37142857142857144
